Date,Portfolio_Value
2022-02-11,189192.69159605593
2022-02-14,188577.69827283907
2022-02-15,190780.06365283608
2022-02-16,190326.7798239172
2022-02-17,188462.7951173909
2022-02-18,186584.87715578452
2022-02-22,185209.21353669823
2022-02-23,183549.18357466222
2022-02-24,185551.38166293115
2022-02-25,189637.98152017232
2022-02-28,190791.38486169025
2022-03-01,189857.76960176858
2022-03-02,192875.79963845212
2022-03-03,191818.32581763153
2022-03-04,192158.7052027993
2022-03-07,189890.68334187547
2022-03-08,189301.39894198373
2022-03-09,190371.89371058
2022-03-10,190385.71901949888
2022-03-11,188380.8468183917
2022-03-14,184251.8241739344
2022-03-15,185093.5144569361
2022-03-16,187571.0725304457
2022-03-17,190336.85524857262
2022-03-18,191905.67898205668
2022-03-21,193760.6330392677
2022-03-22,194576.611882128
2022-03-23,193870.5985685466
2022-03-24,196506.29938067187
2022-03-25,199054.7194780567
2022-03-28,198376.9908225966
2022-03-29,200055.56469927722
2022-03-30,199718.58222115974
2022-03-31,196791.08111702654
2022-04-01,198291.0956167662
2022-04-04,200679.9563380855
2022-04-05,197394.3046920643
2022-04-06,195488.89488342084
2022-04-07,196739.76301412148
2022-04-08,197331.29244466248
2022-04-11,193735.94382659422
2022-04-12,193937.92499299004
2022-04-13,196830.61864638023
2022-04-14,195279.2679868415
2022-04-18,196081.22097955144
2022-04-19,197150.28695408342
2022-04-20,194687.3427744305
2022-04-21,191485.23949687363
2022-04-22,186628.93305287068
2022-04-25,186617.42800586004
2022-04-26,182764.08470058622
2022-04-27,183774.829486155
2022-04-28,190081.21602419126
2022-04-29,184078.03153210413
2022-05-02,186136.41274943226
2022-05-03,188017.43838129312
2022-05-04,194132.26149617246
2022-05-05,189394.604111621
2022-05-06,189641.39964765147
2022-05-09,181499.40655863436
2022-05-10,182696.15425204052
2022-05-11,182038.88748056773
2022-05-12,182530.37805882463
2022-05-13,187945.06346427786
2022-05-16,189388.79094493465
2022-05-17,191294.44117605482
2022-05-18,183833.0582834164
2022-05-19,182380.3025723334
2022-05-20,182678.86270563953
2022-05-23,186804.43356971644
2022-05-24,185588.96428055756
2022-05-25,187873.24570635884
2022-05-26,190341.40795299952
2022-05-27,194409.07296404743
2022-05-31,193630.44776133957
2022-06-01,194109.252569834
2022-06-02,196309.1261446407
2022-06-03,194032.65554754998
2022-06-06,194498.6123256676
2022-06-07,197826.07299095456
2022-06-08,196790.9558594979
2022-06-09,193062.6512865223
2022-06-10,188688.24121613803
2022-06-13,180902.95516962995
2022-06-14,180435.45527657884
2022-06-15,180990.21320005794
2022-06-16,174636.92184016242
2022-06-17,172362.01334330984
2022-06-21,178398.89732387295
2022-06-22,176161.08333601654
2022-06-23,175515.3774080691
2022-06-24,180462.43132941774
2022-06-27,181285.38533795916
2022-06-28,179713.04512041569
2022-06-29,177655.7058964151
2022-06-30,175203.65058354678
2022-07-01,175498.58877159093
2022-07-05,175180.20093363637
2022-07-06,175374.07392941738
2022-07-07,179332.2428495576
2022-07-08,179245.3187002383
2022-07-11,176268.1578982196
2022-07-12,174065.85592221655
2022-07-13,173415.40126862383
2022-07-14,172668.83368196012
2022-07-15,175955.2231910127
2022-07-18,175676.03665255354
2022-07-19,181283.69446635447
2022-07-20,183408.86854642862
